mag_id	contig	position	gene_id	test_type	min_p_value	q_value
MAG_001	MAG_001.fa_contig2	895	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	4.36e-05	8.31e-04
MAG_001	MAG_001.fa_contig2	929	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	4.96e-06	4.34e-05
MAG_001	MAG_001.fa_contig2	936	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	4.35e-05	6.51e-04
MAG_001	MAG_001.fa_contig2	1150	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	4.31e-05	8.28e-04
MAG_001	MAG_001.fa_contig2	1261	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	6.69e-05	3.75e-04
MAG_001	MAG_001.fa_contig2	1262	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	5.85e-05	5.77e-04
MAG_001	MAG_001.fa_contig2	1266	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	3.06e-05	4.71e-04
MAG_001	MAG_001.fa_contig2	1281	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	1.51e-05	2.03e-04
MAG_001	MAG_001.fa_contig2	1444	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	8.19e-05	1.26e-03
MAG_001	MAG_001.fa_contig2	1453	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	2.71e-06	2.65e-05
MAG_001	MAG_001.fa_contig2	1546	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	9.22e-05	1.03e-03
MAG_001	MAG_001.fa_contig2	1569	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	4.92e-05	4.61e-04
MAG_001	MAG_001.fa_contig2	1597	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	8.45e-05	5.96e-04
MAG_002	MAG_002.fa_contig1	311	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	6.92e-05	1.02e-03
MAG_002	MAG_002.fa_contig1	360	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	7.56e-05	1.44e-03
MAG_002	MAG_002.fa_contig1	464	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	6.03e-05	7.48e-04
MAG_002	MAG_002.fa_contig1	479	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	9.45e-05	1.40e-03
MAG_002	MAG_002.fa_contig1	511	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	2.37e-05	2.15e-04
MAG_002	MAG_002.fa_contig1	702	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	2.11e-05	1.30e-04
MAG_002	MAG_002.fa_contig1	784	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	5.83e-05	1.16e-03
MAG_002	MAG_002.fa_contig1	811	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	1.49e-05	2.75e-04
MAG_002	MAG_002.fa_contig1	838	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	2.36e-05	2.72e-04
MAG_002	MAG_002.fa_contig1	844	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	7.31e-05	4.95e-04
MAG_002	MAG_002.fa_contig1	1076	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	7.56e-05	8.38e-04
MAG_002	MAG_002.fa_contig1	1093	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	7.79e-05	8.47e-04
MAG_002	MAG_002.fa_contig1	1108	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	9.67e-05	5.54e-04
MAG_002	MAG_002.fa_contig1	1129	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	3.21e-05	3.20e-04
MAG_002	MAG_002.fa_contig1	1134	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	5.95e-05	1.13e-03
MAG_002	MAG_002.fa_contig2	66	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	7.72e-05	1.19e-03
MAG_002	MAG_002.fa_contig2	136	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	3.35e-05	5.69e-04
MAG_002	MAG_002.fa_contig2	165	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	1.14e-05	1.63e-04
MAG_002	MAG_002.fa_contig2	197	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	9.34e-05	9.04e-04
MAG_002	MAG_002.fa_contig2	242	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	9.63e-05	1.16e-03
MAG_002	MAG_002.fa_contig2	353	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	9.59e-05	9.55e-04
MAG_002	MAG_002.fa_contig2	435	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	7.51e-05	5.64e-04
MAG_002	MAG_002.fa_contig2	481	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	9.78e-05	6.81e-04
MAG_002	MAG_002.fa_contig2	483	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	5.58e-05	8.04e-04
MAG_002	MAG_002.fa_contig2	500	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	2.83e-06	1.70e-05
MAG_002	MAG_002.fa_contig2	612	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	9.63e-05	1.65e-03
MAG_002	MAG_002.fa_contig2	619	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	5.25e-05	8.22e-04
MAG_002	MAG_002.fa_contig2	623	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	4.35e-05	3.93e-04
MAG_002	MAG_002.fa_contig2	627	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	5.27e-05	9.42e-04
MAG_002	MAG_002.fa_contig2	792	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	3.22e-05	3.93e-04
