mag_id	contig	position	gene_id	test_type	min_p_value	q_value
MAG_001	MAG_001.fa_contig2	815	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	9.59e-06	1.03e-04
MAG_001	MAG_001.fa_contig2	888	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	3.80e-05	2.37e-04
MAG_001	MAG_001.fa_contig2	939	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	2.86e-05	3.79e-04
MAG_001	MAG_001.fa_contig2	1061	MAG_001.fa_contig2_gene1	two_sample_paired_tTest	9.39e-05	7.44e-04
MAG_001	MAG_001.fa_contig2	1146	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	5.49e-05	6.10e-04
MAG_001	MAG_001.fa_contig2	1210	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	1.90e-05	2.17e-04
MAG_001	MAG_001.fa_contig2	1312	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	2.40e-05	4.19e-04
MAG_001	MAG_001.fa_contig2	1358	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	8.95e-05	1.02e-03
MAG_001	MAG_001.fa_contig2	1366	MAG_001.fa_contig2_gene3	two_sample_paired_tTest	5.46e-05	8.89e-04
MAG_001	MAG_001.fa_contig2	1514	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	8.22e-05	1.19e-03
MAG_001	MAG_001.fa_contig2	1523	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	9.66e-05	1.22e-03
MAG_001	MAG_001.fa_contig2	1607	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	8.19e-05	7.41e-04
MAG_001	MAG_001.fa_contig2	1634	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	8.29e-05	1.22e-03
MAG_001	MAG_001.fa_contig2	1650	MAG_001.fa_contig2_gene2	two_sample_paired_tTest	7.65e-05	4.59e-04
MAG_002	MAG_002.fa_contig1	313	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	4.97e-05	4.28e-04
MAG_002	MAG_002.fa_contig1	318	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	2.04e-05	2.22e-04
MAG_002	MAG_002.fa_contig1	409	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	8.49e-05	9.20e-04
MAG_002	MAG_002.fa_contig1	433	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	1.91e-06	2.77e-05
MAG_002	MAG_002.fa_contig1	473	MAG_002.fa_contig1_gene3	two_sample_paired_tTest	5.96e-05	6.08e-04
MAG_002	MAG_002.fa_contig1	648	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	8.30e-06	1.40e-04
MAG_002	MAG_002.fa_contig1	654	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	9.71e-05	1.59e-03
MAG_002	MAG_002.fa_contig1	671	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	3.69e-05	2.91e-04
MAG_002	MAG_002.fa_contig1	686	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	5.56e-05	9.38e-04
MAG_002	MAG_002.fa_contig1	784	MAG_002.fa_contig1_gene1	two_sample_paired_tTest	7.57e-05	6.17e-04
MAG_002	MAG_002.fa_contig1	1013	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	3.87e-05	7.74e-04
MAG_002	MAG_002.fa_contig1	1036	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	3.95e-05	4.81e-04
MAG_002	MAG_002.fa_contig1	1099	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	8.59e-05	8.93e-04
MAG_002	MAG_002.fa_contig1	1128	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	3.07e-05	3.97e-04
MAG_002	MAG_002.fa_contig1	1168	MAG_002.fa_contig1_gene2	two_sample_paired_tTest	8.64e-05	7.04e-04
MAG_002	MAG_002.fa_contig2	126	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	1.46e-05	2.00e-04
MAG_002	MAG_002.fa_contig2	139	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	3.64e-05	4.74e-04
MAG_002	MAG_002.fa_contig2	188	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	6.77e-05	5.43e-04
MAG_002	MAG_002.fa_contig2	242	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	2.18e-05	2.94e-04
MAG_002	MAG_002.fa_contig2	268	MAG_002.fa_contig2_gene3	two_sample_paired_tTest	2.12e-05	3.52e-04
MAG_002	MAG_002.fa_contig2	335	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	1.91e-05	1.44e-04
MAG_002	MAG_002.fa_contig2	465	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	2.69e-05	4.07e-04
MAG_002	MAG_002.fa_contig2	470	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	9.13e-05	1.42e-03
MAG_002	MAG_002.fa_contig2	496	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	2.93e-05	4.52e-04
MAG_002	MAG_002.fa_contig2	500	MAG_002.fa_contig2_gene1	two_sample_paired_tTest	5.00e-05	7.92e-04
MAG_002	MAG_002.fa_contig2	559	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	6.09e-05	8.33e-04
MAG_002	MAG_002.fa_contig2	743	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	8.53e-05	1.71e-03
MAG_002	MAG_002.fa_contig2	746	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	4.49e-05	5.71e-04
MAG_002	MAG_002.fa_contig2	749	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	5.27e-05	3.36e-04
MAG_002	MAG_002.fa_contig2	776	MAG_002.fa_contig2_gene2	two_sample_paired_tTest	5.42e-05	9.67e-04
